idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
0,15.81754,-0.06769,0.98153,0.92763,2.61235,1.34389,0.00988,0.21946,-0.28087,0.49299,0.10715,0.14627,0.19076,0.09729,0.15270,4.79271,0.14759
1,13.43970,0.12337,1.34278,1.10651,2.17324,0.90060,0.05149,0.23432,-0.37329,0.29940,0.08497,0.12393,0.20455,0.07722,0.29229,5.81536,0.14498
2,15.84174,0.13791,1.06155,1.15276,2.77641,1.03337,0.00518,0.23255,-0.35375,0.79445,0.13705,0.11665,0.18175,0.07408,0.07515,3.39156,0.15274
3,14.47395,0.11147,0.82684,1.01294,2.40816,1.13235,-0.08793,0.20885,-1.19838,0.43428,0.12346,0.07759,0.17377,0.06128,0.11686,4.61781,0.14550
4,16.13648,0.32229,1.38858,0.84729,1.23917,1.12739,-0.07829,0.23634,-0.22399,0.27735,0.14276,0.11019,0.20315,0.07877,-0.10924,6.42583,0.13879
5,15.16153,-0.29331,1.13619,0.98576,2.21569,1.41254,0.09761,0.24373,-0.16424,0.50428,0.11003,0.09281,0.18628,0.10842,-0.30039,4.37667,0.14514
6,13.59274,0.26194,0.97401,1.03469,2.00037,0.87127,0.06759,0.20846,-0.72239,1.08051,0.10413,0.13262,0.21420,0.10958,0.20934,5.38054,0.15055
7,14.10602,0.18420,0.82219,0.86271,2.14275,1.21846,-0.00975,0.18701,-0.29746,0.80618,0.05718,0.07979,0.19441,0.06930,-0.33605,5.46964,0.14869
8,14.72612,-0.10312,1.05010,1.04314,1.91797,1.04208,-0.03388,0.25102,-0.42237,0.83054,0.13646,0.13370,0.21170,0.05283,-0.03775,5.66058,0.14539
9,15.23275,0.04453,0.83349,1.19843,1.90447,1.19930,-0.09960,0.20460,-0.47819,0.62095,0.13174,0.12970,0.15141,0.11179,0.20137,4.27078,0.15575
10,16.77749,-0.06090,1.30399,1.06363,2.53554,1.38570,-0.14612,0.20517,-0.99965,0.54175,0.14191,0.09604,0.18619,0.07269,-0.04599,4.46773,0.14821
11,14.30748,-0.04140,1.46056,0.82860,2.95186,1.29799,0.08561,0.24470,-0.05065,0.52040,0.11427,0.15116,0.23750,0.09348,-0.21657,3.66988,0.14303
12,16.54575,-0.03094,1.17293,1.23356,2.01254,0.70577,0.04904,0.21037,-0.24172,0.40729,0.07762,0.15355,0.21095,0.09586,0.28332,4.29601,0.14960
